Time : 2/2/2017 4:02:55 AM
1.493826 INFO Goes into Track mode.
2.316255 INFO Goes into Dodge mode.
2.382664 INFO Goes into Track mode.
24.34529 INFO Has hit NightHunter_AI_B1 (2).
27.21119 INFO Has hit NightHunter_AI_B2.
27.41008 INFO Has hit NightHunter_AI_B2.
27.41012 INFO Has hit NightHunter_AI_B2.
27.75788 INFO Has hit NightHunter_AI_B2.
27.75791 INFO Has hit NightHunter_AI_B2.
28.20466 INFO Goes into Escape mode.
28.22121 INFO Goes into Track mode.
28.22122 INFO Goes into Escape mode.
28.2378 INFO Goes into Track mode.
28.23782 INFO Goes into Escape mode.
28.27095 INFO Goes into Track mode.
28.27096 INFO Goes into Escape mode.
28.28754 INFO Goes into Track mode.
28.28756 INFO Goes into Escape mode.
28.30407 INFO Goes into Track mode.
28.30409 INFO Goes into Escape mode.
28.32073 INFO Goes into Track mode.
28.32074 INFO Goes into Escape mode.
28.33719 INFO Goes into Track mode.
28.3372 INFO Goes into Escape mode.
28.37032 INFO Goes into Track mode.
28.37034 INFO Goes into Escape mode.
28.38688 INFO Goes into Track mode.
28.3869 INFO Goes into Escape mode.
28.40347 INFO Goes into Track mode.
28.40349 INFO Goes into Escape mode.
28.42002 INFO Goes into Track mode.
28.42004 INFO Goes into Escape mode.
28.43654 INFO Goes into Track mode.
28.43656 INFO Goes into Escape mode.
28.46971 INFO Goes into Track mode.
28.46973 INFO Goes into Escape mode.
28.48629 INFO Goes into Track mode.
28.48632 INFO Goes into Escape mode.
28.50289 INFO Goes into Track mode.
28.50291 INFO Goes into Escape mode.
28.51942 INFO Goes into Track mode.
28.51944 INFO Goes into Escape mode.
28.53596 INFO Goes into Track mode.
28.53598 INFO Goes into Escape mode.
28.56908 INFO Goes into Track mode.
28.56911 INFO Goes into Escape mode.
28.58566 INFO Goes into Track mode.
28.58568 INFO Goes into Escape mode.
28.60219 INFO Goes into Track mode.
28.60221 INFO Goes into Escape mode.
28.61876 INFO Goes into Track mode.
28.61878 INFO Goes into Escape mode.
28.65193 INFO Goes into Track mode.
28.65195 INFO Goes into Escape mode.
28.66846 INFO Goes into Track mode.
28.66848 INFO Goes into Escape mode.
28.68506 INFO Goes into Track mode.
28.68509 INFO Goes into Escape mode.
28.70162 INFO Goes into Track mode.
28.70163 INFO Goes into Escape mode.
28.71823 INFO Goes into Track mode.
28.71825 INFO Goes into Escape mode.
28.7513 INFO Goes into Track mode.
28.75132 INFO Goes into Escape mode.
28.76786 INFO Goes into Track mode.
28.76788 INFO Goes into Escape mode.
28.78443 INFO Goes into Track mode.
28.78445 INFO Goes into Escape mode.
28.80097 INFO Goes into Track mode.
28.80099 INFO Goes into Escape mode.
28.81754 INFO Goes into Track mode.
28.81756 INFO Goes into Escape mode.
28.85075 INFO Goes into Track mode.
28.85077 INFO Goes into Escape mode.
28.86728 INFO Goes into Track mode.
28.8673 INFO Goes into Escape mode.
28.88386 INFO Goes into Track mode.
28.88388 INFO Goes into Escape mode.
28.90043 INFO Goes into Track mode.
28.90045 INFO Goes into Escape mode.
28.91721 INFO Goes into Track mode.
28.91723 INFO Goes into Escape mode.
28.9501 INFO Goes into Track mode.
28.95013 INFO Goes into Escape mode.
28.96669 INFO Goes into Track mode.
28.96671 INFO Goes into Escape mode.
28.98325 INFO Goes into Track mode.
28.98327 INFO Goes into Escape mode.
28.99989 INFO Goes into Track mode.
28.99991 INFO Goes into Escape mode.
29.01639 INFO Goes into Track mode.
29.01641 INFO Goes into Escape mode.
29.04954 INFO Goes into Track mode.
29.04956 INFO Goes into Escape mode.
29.0661 INFO Goes into Track mode.
29.06612 INFO Goes into Escape mode.
29.08269 INFO Goes into Track mode.
29.08271 INFO Goes into Escape mode.
29.09921 INFO Goes into Track mode.
29.09923 INFO Goes into Escape mode.
29.13233 INFO Goes into Track mode.
29.13237 INFO Goes into Escape mode.
29.14892 INFO Goes into Track mode.
29.14894 INFO Goes into Escape mode.
29.16547 INFO Goes into Track mode.
29.16549 INFO Goes into Escape mode.
29.18204 INFO Goes into Track mode.
29.18206 INFO Goes into Escape mode.
29.19861 INFO Goes into Track mode.
29.19863 INFO Goes into Escape mode.
29.23172 INFO Goes into Track mode.
29.23174 INFO Goes into Escape mode.
29.2483 INFO Goes into Track mode.
29.24832 INFO Goes into Escape mode.
29.26488 INFO Goes into Track mode.
29.2649 INFO Goes into Escape mode.
29.28158 INFO Goes into Track mode.
29.2816 INFO Goes into Escape mode.
29.29801 INFO Goes into Track mode.
29.29803 INFO Goes into Escape mode.
29.33111 INFO Goes into Track mode.
29.33113 INFO Goes into Escape mode.
29.34791 INFO Goes into Track mode.
29.34793 INFO Goes into Escape mode.
29.36428 INFO Goes into Track mode.
29.3643 INFO Goes into Escape mode.
29.38084 INFO Goes into Track mode.
29.38086 INFO Goes into Escape mode.
29.39744 INFO Goes into Track mode.
29.39746 INFO Goes into Escape mode.
29.43059 INFO Goes into Track mode.
29.4306 INFO Goes into Escape mode.
29.44723 INFO Goes into Track mode.
29.44725 INFO Goes into Escape mode.
29.46372 INFO Goes into Track mode.
29.46374 INFO Goes into Escape mode.
29.4803 INFO Goes into Track mode.
29.48031 INFO Goes into Escape mode.
29.49686 INFO Goes into Track mode.
29.49687 INFO Goes into Escape mode.
29.53023 INFO Goes into Track mode.
29.53024 INFO Goes into Escape mode.
29.54655 INFO Goes into Track mode.
29.54657 INFO Goes into Escape mode.
29.56312 INFO Goes into Track mode.
29.56313 INFO Goes into Escape mode.
29.5797 INFO Goes into Track mode.
29.57972 INFO Goes into Escape mode.
29.59655 INFO Goes into Track mode.
29.59657 INFO Goes into Escape mode.
29.62938 INFO Goes into Track mode.
29.62939 INFO Goes into Escape mode.
29.64592 INFO Goes into Track mode.
29.64593 INFO Goes into Escape mode.
29.66254 INFO Goes into Track mode.
29.66255 INFO Goes into Escape mode.
29.67934 INFO Goes into Track mode.
29.67935 INFO Goes into Escape mode.
29.71226 INFO Goes into Track mode.
29.71227 INFO Goes into Escape mode.
29.72876 INFO Goes into Track mode.
29.72878 INFO Goes into Escape mode.
29.74544 INFO Goes into Track mode.
29.74545 INFO Goes into Escape mode.
29.76213 INFO Goes into Track mode.
29.76215 INFO Goes into Escape mode.
29.77858 INFO Goes into Track mode.
29.77859 INFO Goes into Escape mode.
29.81165 INFO Goes into Track mode.
29.81166 INFO Goes into Escape mode.
29.82818 INFO Goes into Track mode.
29.82819 INFO Goes into Escape mode.
29.84474 INFO Goes into Track mode.
29.84475 INFO Goes into Escape mode.
29.8613 INFO Goes into Track mode.
29.86131 INFO Goes into Escape mode.
29.87792 INFO Goes into Track mode.
29.87793 INFO Goes into Escape mode.
29.91101 INFO Goes into Track mode.
29.91102 INFO Goes into Escape mode.
29.92756 INFO Goes into Track mode.
29.92757 INFO Goes into Escape mode.
29.94421 INFO Goes into Track mode.
29.94422 INFO Goes into Escape mode.
29.96069 INFO Goes into Track mode.
29.96071 INFO Goes into Escape mode.
29.97726 INFO Goes into Track mode.
29.97727 INFO Goes into Escape mode.
30.01042 INFO Goes into Track mode.
30.01044 INFO Goes into Escape mode.
30.02693 INFO Goes into Track mode.
30.02695 INFO Goes into Escape mode.
30.04351 INFO Goes into Track mode.
30.04353 INFO Goes into Escape mode.
