Time : 2/2/2017 1:58:06 AM
1.480268 INFO Goes into Track mode.
3.494447 INFO Goes into Escape mode.
3.511003 INFO Goes into Track mode.
3.511027 INFO Goes into Escape mode.
3.544185 INFO Goes into Track mode.
3.544209 INFO Goes into Escape mode.
3.560706 INFO Goes into Track mode.
3.560726 INFO Goes into Escape mode.
3.577317 INFO Goes into Track mode.
3.57734 INFO Goes into Escape mode.
3.59405 INFO Goes into Track mode.
3.594075 INFO Goes into Escape mode.
3.610435 INFO Goes into Track mode.
3.610458 INFO Goes into Escape mode.
3.643528 INFO Goes into Track mode.
3.643549 INFO Goes into Escape mode.
3.660155 INFO Goes into Track mode.
3.66018 INFO Goes into Escape mode.
3.676657 INFO Goes into Track mode.
3.676678 INFO Goes into Escape mode.
3.693286 INFO Goes into Track mode.
3.693311 INFO Goes into Escape mode.
3.709801 INFO Goes into Track mode.
3.70982 INFO Goes into Escape mode.
3.742964 INFO Goes into Track mode.
3.742991 INFO Goes into Escape mode.
3.759702 INFO Goes into Track mode.
3.759732 INFO Goes into Escape mode.
3.776129 INFO Goes into Track mode.
3.776154 INFO Goes into Escape mode.
3.792694 INFO Goes into Track mode.
3.792719 INFO Goes into Escape mode.
3.809184 INFO Goes into Track mode.
3.809204 INFO Goes into Escape mode.
3.842317 INFO Goes into Track mode.
3.842339 INFO Goes into Escape mode.
3.858958 INFO Goes into Track mode.
3.858983 INFO Goes into Escape mode.
3.875513 INFO Goes into Track mode.
3.875537 INFO Goes into Escape mode.
3.892033 INFO Goes into Track mode.
3.892055 INFO Goes into Escape mode.
3.925385 INFO Goes into Track mode.
3.925409 INFO Goes into Escape mode.
3.941806 INFO Goes into Track mode.
3.941831 INFO Goes into Escape mode.
3.95839 INFO Goes into Track mode.
3.958415 INFO Goes into Escape mode.
3.974865 INFO Goes into Track mode.
3.974888 INFO Goes into Escape mode.
3.991485 INFO Goes into Track mode.
3.99151 INFO Goes into Escape mode.
4.024625 INFO Goes into Track mode.
4.02466 INFO Goes into Escape mode.
4.041165 INFO Goes into Track mode.
4.041189 INFO Goes into Escape mode.
4.057753 INFO Goes into Track mode.
4.057777 INFO Goes into Escape mode.
4.074337 INFO Goes into Track mode.
4.074363 INFO Goes into Escape mode.
4.091074 INFO Goes into Track mode.
