Time : 2/2/2017 4:02:55 AM
1.489369 INFO Goes into Track mode.
7.546738 INFO Has hit NightHunter_AI_B2 (5).
7.546764 INFO Has hit NightHunter_AI_B2 (5).
7.745405 INFO Has hit NightHunter_AI_B2 (4).
7.745432 INFO Has hit NightHunter_AI_B2 (5).
8.15893 INFO Goes into Escape mode.
8.192078 INFO Goes into Track mode.
8.192091 INFO Goes into Escape mode.
8.208715 INFO Goes into Track mode.
8.208729 INFO Goes into Escape mode.
8.225167 INFO Goes into Track mode.
8.225181 INFO Goes into Escape mode.
8.24176 INFO Goes into Track mode.
8.241772 INFO Goes into Escape mode.
8.25834 INFO Goes into Track mode.
8.258352 INFO Goes into Escape mode.
8.291508 INFO Goes into Track mode.
8.291519 INFO Goes into Escape mode.
8.308014 INFO Goes into Track mode.
8.308027 INFO Goes into Escape mode.
8.324573 INFO Goes into Track mode.
8.324585 INFO Goes into Escape mode.
8.34112 INFO Goes into Track mode.
8.341132 INFO Goes into Escape mode.
8.357725 INFO Goes into Track mode.
8.357737 INFO Goes into Escape mode.
8.390882 INFO Goes into Track mode.
8.390895 INFO Goes into Escape mode.
8.407476 INFO Goes into Track mode.
8.407497 INFO Goes into Escape mode.
8.424181 INFO Goes into Track mode.
8.424194 INFO Goes into Escape mode.
8.440599 INFO Goes into Track mode.
8.440611 INFO Goes into Escape mode.
8.457146 INFO Goes into Track mode.
8.457161 INFO Goes into Escape mode.
8.490253 INFO Goes into Track mode.
8.490265 INFO Goes into Escape mode.
8.506825 INFO Goes into Track mode.
8.506838 INFO Goes into Escape mode.
8.523383 INFO Goes into Track mode.
8.523396 INFO Goes into Escape mode.
8.539963 INFO Goes into Track mode.
8.539975 INFO Goes into Escape mode.
8.556523 INFO Goes into Track mode.
8.556534 INFO Goes into Escape mode.
8.589683 INFO Goes into Track mode.
8.589694 INFO Goes into Escape mode.
8.606297 INFO Goes into Track mode.
8.60631 INFO Goes into Escape mode.
8.622795 INFO Goes into Track mode.
8.622808 INFO Goes into Escape mode.
8.639338 INFO Goes into Track mode.
8.63935 INFO Goes into Escape mode.
8.655934 INFO Goes into Track mode.
8.655948 INFO Goes into Escape mode.
8.689198 INFO Goes into Track mode.
8.68921 INFO Goes into Escape mode.
8.70566 INFO Goes into Track mode.
8.705671 INFO Goes into Escape mode.
8.722169 INFO Goes into Track mode.
8.722184 INFO Goes into Escape mode.
8.738768 INFO Goes into Track mode.
8.738789 INFO Goes into Escape mode.
8.771889 INFO Goes into Track mode.
8.771902 INFO Goes into Escape mode.
8.788464 INFO Goes into Track mode.
8.788476 INFO Goes into Escape mode.
8.80502 INFO Goes into Track mode.
8.805034 INFO Goes into Escape mode.
8.821594 INFO Goes into Track mode.
8.821609 INFO Goes into Escape mode.
8.83813 INFO Goes into Track mode.
8.838142 INFO Goes into Escape mode.
8.871297 INFO Goes into Track mode.
8.871309 INFO Goes into Escape mode.
8.887851 INFO Goes into Track mode.
8.887862 INFO Goes into Escape mode.
8.904407 INFO Goes into Track mode.
8.90442 INFO Goes into Escape mode.
8.920961 INFO Goes into Track mode.
8.920974 INFO Goes into Escape mode.
8.937547 INFO Goes into Track mode.
8.937559 INFO Goes into Escape mode.
8.970705 INFO Goes into Track mode.
8.970719 INFO Goes into Escape mode.
8.987247 INFO Goes into Track mode.
8.987258 INFO Goes into Escape mode.
9.003805 INFO Goes into Track mode.
9.003817 INFO Goes into Escape mode.
9.020475 INFO Goes into Track mode.
9.020488 INFO Goes into Escape mode.
9.036961 INFO Goes into Track mode.
9.036974 INFO Goes into Escape mode.
9.070093 INFO Goes into Track mode.
9.070107 INFO Goes into Escape mode.
9.086676 INFO Goes into Track mode.
9.086689 INFO Goes into Escape mode.
9.103208 INFO Goes into Track mode.
9.10322 INFO Goes into Escape mode.
9.119767 INFO Goes into Track mode.
9.11978 INFO Goes into Escape mode.
9.136339 INFO Goes into Track mode.
9.136353 INFO Goes into Escape mode.
9.169484 INFO Goes into Track mode.
9.169497 INFO Goes into Escape mode.
9.186152 INFO Goes into Track mode.
9.186164 INFO Goes into Escape mode.
9.202701 INFO Goes into Track mode.
9.202714 INFO Goes into Escape mode.
9.219199 INFO Goes into Track mode.
9.219211 INFO Goes into Escape mode.
9.252318 INFO Goes into Track mode.
9.252331 INFO Goes into Escape mode.
9.268888 INFO Goes into Track mode.
9.268901 INFO Goes into Escape mode.
9.285446 INFO Goes into Track mode.
9.28546 INFO Goes into Escape mode.
9.302006 INFO Goes into Track mode.
9.302018 INFO Goes into Escape mode.
9.318569 INFO Goes into Track mode.
9.318583 INFO Goes into Escape mode.
9.351724 INFO Goes into Track mode.
9.351737 INFO Goes into Escape mode.
9.36826 INFO Goes into Track mode.
9.368273 INFO Goes into Escape mode.
9.384855 INFO Goes into Track mode.
9.384868 INFO Goes into Escape mode.
9.401398 INFO Goes into Track mode.
9.40141 INFO Goes into Escape mode.
9.417984 INFO Goes into Track mode.
9.417999 INFO Goes into Escape mode.
9.451115 INFO Goes into Track mode.
9.451128 INFO Goes into Escape mode.
9.467677 INFO Goes into Track mode.
9.467694 INFO Goes into Escape mode.
9.484521 INFO Goes into Track mode.
9.484536 INFO Goes into Escape mode.
9.5009 INFO Goes into Track mode.
9.500913 INFO Goes into Escape mode.
9.517457 INFO Goes into Track mode.
9.517479 INFO Goes into Escape mode.
9.550545 INFO Goes into Track mode.
9.550557 INFO Goes into Escape mode.
9.56706 INFO Goes into Track mode.
9.567072 INFO Goes into Escape mode.
9.58363 INFO Goes into Track mode.
9.583643 INFO Goes into Escape mode.
9.600184 INFO Goes into Track mode.
9.600198 INFO Goes into Escape mode.
9.616839 INFO Goes into Track mode.
9.616851 INFO Goes into Escape mode.
9.649911 INFO Goes into Track mode.
9.649923 INFO Goes into Escape mode.
9.666483 INFO Goes into Track mode.
9.666495 INFO Goes into Escape mode.
9.683176 INFO Goes into Track mode.
9.683189 INFO Goes into Escape mode.
9.699877 INFO Goes into Track mode.
9.699889 INFO Goes into Escape mode.
9.716193 INFO Goes into Track mode.
9.716206 INFO Goes into Escape mode.
9.7493 INFO Goes into Track mode.
9.749312 INFO Goes into Escape mode.
9.76591 INFO Goes into Track mode.
9.765923 INFO Goes into Escape mode.
9.782457 INFO Goes into Track mode.
9.782478 INFO Goes into Escape mode.
9.798994 INFO Goes into Track mode.
9.799006 INFO Goes into Escape mode.
9.832156 INFO Goes into Track mode.
9.83217 INFO Goes into Escape mode.
9.848824 INFO Goes into Track mode.
9.848837 INFO Goes into Escape mode.
9.865317 INFO Goes into Track mode.
9.86533 INFO Goes into Escape mode.
9.881853 INFO Goes into Track mode.
9.881866 INFO Goes into Escape mode.
9.898397 INFO Goes into Track mode.
9.89841 INFO Goes into Escape mode.
9.931558 INFO Goes into Track mode.
9.93157 INFO Goes into Escape mode.
9.948117 INFO Goes into Track mode.
9.948129 INFO Goes into Escape mode.
9.964696 INFO Goes into Track mode.
9.964708 INFO Goes into Escape mode.
9.981266 INFO Goes into Track mode.
9.981278 INFO Goes into Escape mode.
9.997815 INFO Goes into Track mode.
9.997827 INFO Goes into Escape mode.
10.03101 INFO Goes into Track mode.
10.03103 INFO Goes into Escape mode.
10.04754 INFO Goes into Track mode.
10.04755 INFO Goes into Escape mode.
10.0641 INFO Goes into Track mode.
10.06412 INFO Goes into Escape mode.
10.08068 INFO Goes into Track mode.
10.0807 INFO Goes into Escape mode.
10.09722 INFO Goes into Track mode.
10.09723 INFO Goes into Escape mode.
10.13034 INFO Goes into Track mode.
10.13036 INFO Goes into Escape mode.
10.147 INFO Goes into Track mode.
10.14701 INFO Goes into Escape mode.
10.1635 INFO Goes into Track mode.
10.16351 INFO Goes into Escape mode.
10.1802 INFO Goes into Track mode.
10.18021 INFO Goes into Escape mode.
10.19663 INFO Goes into Track mode.
10.19664 INFO Goes into Escape mode.
10.23001 INFO Goes into Track mode.
10.23002 INFO Goes into Escape mode.
10.24634 INFO Goes into Track mode.
10.24635 INFO Goes into Escape mode.
10.26315 INFO Goes into Track mode.
10.26316 INFO Goes into Escape mode.
10.27944 INFO Goes into Track mode.
10.27945 INFO Goes into Escape mode.
10.29641 INFO Goes into Track mode.
10.29642 INFO Goes into Escape mode.
10.32915 INFO Goes into Track mode.
10.32917 INFO Goes into Escape mode.
10.34574 INFO Goes into Track mode.
10.34575 INFO Goes into Escape mode.
10.36228 INFO Goes into Track mode.
10.36229 INFO Goes into Escape mode.
10.37885 INFO Goes into Track mode.
10.37886 INFO Goes into Escape mode.
10.41203 INFO Goes into Track mode.
10.41204 INFO Goes into Escape mode.
10.42856 INFO Goes into Track mode.
10.42858 INFO Goes into Escape mode.
10.4451 INFO Goes into Track mode.
10.44511 INFO Goes into Escape mode.
10.46171 INFO Goes into Track mode.
10.46172 INFO Goes into Escape mode.
10.47853 INFO Goes into Track mode.
10.47855 INFO Goes into Escape mode.
10.51139 INFO Goes into Track mode.
10.51141 INFO Goes into Escape mode.
10.52807 INFO Goes into Track mode.
10.52808 INFO Goes into Escape mode.
10.54455 INFO Goes into Track mode.
10.54457 INFO Goes into Escape mode.
10.56114 INFO Goes into Track mode.
10.56115 INFO Goes into Escape mode.
10.5777 INFO Goes into Track mode.
10.57771 INFO Goes into Escape mode.
10.61088 INFO Goes into Track mode.
10.61089 INFO Goes into Escape mode.
10.62737 INFO Goes into Track mode.
10.62738 INFO Goes into Escape mode.
10.64396 INFO Goes into Track mode.
10.64397 INFO Goes into Escape mode.
10.66062 INFO Goes into Track mode.
10.66063 INFO Goes into Escape mode.
10.67708 INFO Goes into Track mode.
10.67709 INFO Goes into Escape mode.
10.71022 INFO Goes into Track mode.
