Time : 2/2/2017 4:02:55 AM
1.491605 INFO Goes into Track mode.
4.447661 INFO Goes into Escape mode.
4.464344 INFO Goes into Track mode.
4.464365 INFO Goes into Escape mode.
4.480857 INFO Goes into Track mode.
4.480869 INFO Goes into Escape mode.
4.497372 INFO Goes into Track mode.
4.497392 INFO Goes into Escape mode.
4.530531 INFO Goes into Track mode.
4.530552 INFO Goes into Escape mode.
4.547484 INFO Goes into Track mode.
4.547497 INFO Goes into Escape mode.
4.564073 INFO Goes into Track mode.
4.564085 INFO Goes into Escape mode.
4.580626 INFO Goes into Track mode.
4.580638 INFO Goes into Escape mode.
4.59725 INFO Goes into Track mode.
4.597262 INFO Goes into Escape mode.
4.630417 INFO Goes into Track mode.
4.630429 INFO Goes into Escape mode.
4.646864 INFO Goes into Track mode.
4.646876 INFO Goes into Escape mode.
4.663441 INFO Goes into Track mode.
4.663454 INFO Goes into Escape mode.
4.67997 INFO Goes into Track mode.
4.679983 INFO Goes into Escape mode.
4.696585 INFO Goes into Track mode.
4.696598 INFO Goes into Escape mode.
4.729685 INFO Goes into Track mode.
4.729696 INFO Goes into Escape mode.
4.746218 INFO Goes into Track mode.
4.746247 INFO Goes into Escape mode.
4.762825 INFO Goes into Track mode.
4.762838 INFO Goes into Escape mode.
4.779409 INFO Goes into Track mode.
4.779424 INFO Goes into Escape mode.
4.796175 INFO Goes into Track mode.
4.796186 INFO Goes into Escape mode.
4.829098 INFO Goes into Track mode.
4.829111 INFO Goes into Escape mode.
4.845672 INFO Goes into Track mode.
4.845685 INFO Goes into Escape mode.
4.862261 INFO Goes into Track mode.
4.862274 INFO Goes into Escape mode.
4.878768 INFO Goes into Track mode.
4.87878 INFO Goes into Escape mode.
4.91189 INFO Goes into Track mode.
4.911902 INFO Goes into Escape mode.
4.928476 INFO Goes into Track mode.
4.928489 INFO Goes into Escape mode.
4.945033 INFO Goes into Track mode.
4.945045 INFO Goes into Escape mode.
4.961633 INFO Goes into Track mode.
4.961646 INFO Goes into Escape mode.
4.978184 INFO Goes into Track mode.
4.978197 INFO Goes into Escape mode.
5.011315 INFO Goes into Track mode.
5.011326 INFO Goes into Escape mode.
5.027851 INFO Goes into Track mode.
5.027863 INFO Goes into Escape mode.
5.04441 INFO Goes into Track mode.
5.044421 INFO Goes into Escape mode.
5.061028 INFO Goes into Track mode.
5.061042 INFO Goes into Escape mode.
5.077593 INFO Goes into Track mode.
5.077606 INFO Goes into Escape mode.
5.110729 INFO Goes into Track mode.
5.110741 INFO Goes into Escape mode.
5.127326 INFO Goes into Track mode.
5.12734 INFO Goes into Escape mode.
5.143894 INFO Goes into Track mode.
5.143906 INFO Goes into Escape mode.
5.160449 INFO Goes into Track mode.
5.160461 INFO Goes into Escape mode.
5.177011 INFO Goes into Track mode.
5.177023 INFO Goes into Escape mode.
5.210155 INFO Goes into Track mode.
5.210167 INFO Goes into Escape mode.
5.226698 INFO Goes into Track mode.
5.22671 INFO Goes into Escape mode.
5.243281 INFO Goes into Track mode.
5.243292 INFO Goes into Escape mode.
5.259839 INFO Goes into Track mode.
5.259851 INFO Goes into Escape mode.
