Time : 2/2/2017 4:02:55 AM
1.49437 INFO Goes into Track mode.
4.24926 INFO Goes into Escape mode.
4.265556 INFO Goes into Track mode.
4.265578 INFO Goes into Escape mode.
4.282169 INFO Goes into Track mode.
4.282191 INFO Goes into Escape mode.
4.298814 INFO Goes into Track mode.
4.298835 INFO Goes into Escape mode.
4.331861 INFO Goes into Track mode.
4.331883 INFO Goes into Escape mode.
4.348387 INFO Goes into Track mode.
4.348407 INFO Goes into Escape mode.
4.365168 INFO Goes into Track mode.
4.365189 INFO Goes into Escape mode.
4.381763 INFO Goes into Track mode.
4.381783 INFO Goes into Escape mode.
4.398308 INFO Goes into Track mode.
4.398329 INFO Goes into Escape mode.
4.431203 INFO Goes into Track mode.
4.431249 INFO Goes into Escape mode.
4.44777 INFO Goes into Track mode.
4.447785 INFO Goes into Escape mode.
4.464465 INFO Goes into Track mode.
4.464478 INFO Goes into Escape mode.
4.480965 INFO Goes into Track mode.
4.480977 INFO Goes into Escape mode.
4.497486 INFO Goes into Track mode.
4.497498 INFO Goes into Escape mode.
4.530653 INFO Goes into Track mode.
4.530666 INFO Goes into Escape mode.
4.547596 INFO Goes into Track mode.
4.547609 INFO Goes into Escape mode.
4.564186 INFO Goes into Track mode.
4.564199 INFO Goes into Escape mode.
4.580739 INFO Goes into Track mode.
4.580751 INFO Goes into Escape mode.
4.597364 INFO Goes into Track mode.
4.597376 INFO Goes into Escape mode.
4.630529 INFO Goes into Track mode.
4.630542 INFO Goes into Escape mode.
4.646972 INFO Goes into Track mode.
4.646983 INFO Goes into Escape mode.
4.663555 INFO Goes into Track mode.
4.663567 INFO Goes into Escape mode.
4.680077 INFO Goes into Track mode.
4.680089 INFO Goes into Escape mode.
4.696693 INFO Goes into Track mode.
4.696705 INFO Goes into Escape mode.
4.729797 INFO Goes into Track mode.
4.729809 INFO Goes into Escape mode.
4.74634 INFO Goes into Track mode.
4.746352 INFO Goes into Escape mode.
4.762938 INFO Goes into Track mode.
4.762952 INFO Goes into Escape mode.
4.779525 INFO Goes into Track mode.
4.779538 INFO Goes into Escape mode.
4.796301 INFO Goes into Track mode.
4.796312 INFO Goes into Escape mode.
4.829213 INFO Goes into Track mode.
4.829226 INFO Goes into Escape mode.
4.845787 INFO Goes into Track mode.
4.845799 INFO Goes into Escape mode.
4.862374 INFO Goes into Track mode.
4.862387 INFO Goes into Escape mode.
4.878892 INFO Goes into Track mode.
4.878904 INFO Goes into Escape mode.
4.911999 INFO Goes into Track mode.
4.912011 INFO Goes into Escape mode.
4.928587 INFO Goes into Track mode.
4.9286 INFO Goes into Escape mode.
4.945138 INFO Goes into Track mode.
4.945149 INFO Goes into Escape mode.
4.961747 INFO Goes into Track mode.
4.96176 INFO Goes into Escape mode.
4.978298 INFO Goes into Track mode.
4.97831 INFO Goes into Escape mode.
5.011421 INFO Goes into Track mode.
5.011433 INFO Goes into Escape mode.
5.027956 INFO Goes into Track mode.
5.027968 INFO Goes into Escape mode.
5.044519 INFO Goes into Track mode.
5.044534 INFO Goes into Escape mode.
5.061142 INFO Goes into Track mode.
5.061155 INFO Goes into Escape mode.
5.077706 INFO Goes into Track mode.
5.077719 INFO Goes into Escape mode.
5.110855 INFO Goes into Track mode.
5.110867 INFO Goes into Escape mode.
5.127442 INFO Goes into Track mode.
5.127455 INFO Goes into Escape mode.
5.144009 INFO Goes into Track mode.
5.144021 INFO Goes into Escape mode.
5.160572 INFO Goes into Track mode.
5.160584 INFO Goes into Escape mode.
5.177135 INFO Goes into Track mode.
5.177148 INFO Goes into Escape mode.
5.210284 INFO Goes into Track mode.
5.210297 INFO Goes into Escape mode.
5.226811 INFO Goes into Track mode.
5.226823 INFO Goes into Escape mode.
5.24341 INFO Goes into Track mode.
5.243423 INFO Goes into Escape mode.
5.259944 INFO Goes into Track mode.
5.259957 INFO Goes into Escape mode.
5.276597 INFO Goes into Track mode.
5.276608 INFO Goes into Escape mode.
5.309673 INFO Goes into Track mode.
5.309685 INFO Goes into Escape mode.
5.326162 INFO Goes into Track mode.
5.326234 INFO Goes into Escape mode.
5.342754 INFO Goes into Track mode.
5.342767 INFO Goes into Escape mode.
5.359354 INFO Goes into Track mode.
5.359365 INFO Goes into Escape mode.
5.392496 INFO Goes into Track mode.
5.392509 INFO Goes into Escape mode.
5.409078 INFO Goes into Track mode.
5.40909 INFO Goes into Escape mode.
5.425577 INFO Goes into Track mode.
5.425589 INFO Goes into Escape mode.
5.442277 INFO Goes into Track mode.
5.442292 INFO Goes into Escape mode.
5.458736 INFO Goes into Track mode.
5.458747 INFO Goes into Escape mode.
5.491861 INFO Goes into Track mode.
5.491873 INFO Goes into Escape mode.
5.508456 INFO Goes into Track mode.
5.508468 INFO Goes into Escape mode.
5.525039 INFO Goes into Track mode.
5.525051 INFO Goes into Escape mode.
5.541558 INFO Goes into Track mode.
5.54157 INFO Goes into Escape mode.
5.558143 INFO Goes into Track mode.
5.558156 INFO Goes into Escape mode.
5.591433 INFO Goes into Track mode.
5.591444 INFO Goes into Escape mode.
5.607926 INFO Goes into Track mode.
5.607939 INFO Goes into Escape mode.
5.624428 INFO Goes into Track mode.
5.62444 INFO Goes into Escape mode.
5.641075 INFO Goes into Track mode.
5.641088 INFO Goes into Escape mode.
5.657567 INFO Goes into Track mode.
5.657578 INFO Goes into Escape mode.
5.690766 INFO Goes into Track mode.
5.690779 INFO Goes into Escape mode.
5.707242 INFO Goes into Track mode.
5.707255 INFO Goes into Escape mode.
5.723816 INFO Goes into Track mode.
5.723828 INFO Goes into Escape mode.
5.740422 INFO Goes into Track mode.
5.740434 INFO Goes into Escape mode.
5.756985 INFO Goes into Track mode.
5.756998 INFO Goes into Escape mode.
5.79008 INFO Goes into Track mode.
5.790093 INFO Goes into Escape mode.
5.806681 INFO Goes into Track mode.
5.806692 INFO Goes into Escape mode.
5.823233 INFO Goes into Track mode.
5.823246 INFO Goes into Escape mode.
5.839775 INFO Goes into Track mode.
5.839787 INFO Goes into Escape mode.
5.856411 INFO Goes into Track mode.
5.856422 INFO Goes into Escape mode.
5.889562 INFO Goes into Track mode.
5.889575 INFO Goes into Escape mode.
5.906309 INFO Goes into Track mode.
5.906321 INFO Goes into Escape mode.
5.922812 INFO Goes into Track mode.
5.922825 INFO Goes into Escape mode.
5.939233 INFO Goes into Track mode.
5.939245 INFO Goes into Escape mode.
5.972449 INFO Goes into Track mode.
5.972462 INFO Goes into Escape mode.
5.989016 INFO Goes into Track mode.
5.989029 INFO Goes into Escape mode.
6.005551 INFO Goes into Track mode.
6.005565 INFO Goes into Escape mode.
6.022189 INFO Goes into Track mode.
6.022201 INFO Goes into Escape mode.
6.038664 INFO Goes into Track mode.
6.038676 INFO Goes into Escape mode.
6.071808 INFO Goes into Track mode.
6.071823 INFO Goes into Escape mode.
6.088449 INFO Goes into Track mode.
6.088461 INFO Goes into Escape mode.
6.105068 INFO Goes into Track mode.
6.10508 INFO Goes into Escape mode.
6.121482 INFO Goes into Track mode.
6.121495 INFO Goes into Escape mode.
6.138031 INFO Goes into Track mode.
6.138042 INFO Goes into Escape mode.
6.171185 INFO Goes into Track mode.
6.171198 INFO Goes into Escape mode.
6.187785 INFO Goes into Track mode.
6.187797 INFO Goes into Escape mode.
6.204278 INFO Goes into Track mode.
6.204298 INFO Goes into Escape mode.
6.220893 INFO Goes into Track mode.
6.220906 INFO Goes into Escape mode.
6.237505 INFO Goes into Track mode.
6.237516 INFO Goes into Escape mode.
6.270562 INFO Goes into Track mode.
6.270574 INFO Goes into Escape mode.
6.287089 INFO Goes into Track mode.
6.287101 INFO Goes into Escape mode.
6.303727 INFO Goes into Track mode.
6.303739 INFO Goes into Escape mode.
6.320238 INFO Goes into Track mode.
6.320251 INFO Goes into Escape mode.
6.336807 INFO Goes into Track mode.
6.33682 INFO Goes into Escape mode.
6.369932 INFO Goes into Track mode.
6.369943 INFO Goes into Escape mode.
6.386514 INFO Goes into Track mode.
6.386525 INFO Goes into Escape mode.
6.403214 INFO Goes into Track mode.
6.403227 INFO Goes into Escape mode.
6.419692 INFO Goes into Track mode.
6.420348 INFO Goes into Escape mode.
6.436208 INFO Goes into Track mode.
6.43622 INFO Goes into Escape mode.
6.46937 INFO Goes into Track mode.
6.469381 INFO Goes into Escape mode.
6.48594 INFO Goes into Track mode.
6.485953 INFO Goes into Escape mode.
6.502499 INFO Goes into Track mode.
6.502512 INFO Goes into Escape mode.
6.519223 INFO Goes into Track mode.
6.519235 INFO Goes into Escape mode.
6.552195 INFO Goes into Track mode.
6.552207 INFO Goes into Escape mode.
6.568804 INFO Goes into Track mode.
6.568816 INFO Goes into Escape mode.
6.585276 INFO Goes into Track mode.
6.585288 INFO Goes into Escape mode.
6.601929 INFO Goes into Track mode.
6.601942 INFO Goes into Escape mode.
6.618468 INFO Goes into Track mode.
6.61848 INFO Goes into Escape mode.
6.651587 INFO Goes into Track mode.
6.6516 INFO Goes into Escape mode.
6.668327 INFO Goes into Track mode.
6.668351 INFO Goes into Escape mode.
6.684773 INFO Goes into Track mode.
6.684786 INFO Goes into Escape mode.
6.701298 INFO Goes into Track mode.
6.701313 INFO Goes into Escape mode.
6.717801 INFO Goes into Track mode.
6.717813 INFO Goes into Escape mode.
6.750961 INFO Goes into Track mode.
6.750973 INFO Goes into Escape mode.
6.767529 INFO Goes into Track mode.
6.76754 INFO Goes into Escape mode.
6.784072 INFO Goes into Track mode.
6.784084 INFO Goes into Escape mode.
6.800665 INFO Goes into Track mode.
6.80068 INFO Goes into Escape mode.
6.817203 INFO Goes into Track mode.
6.817215 INFO Goes into Escape mode.
6.850382 INFO Goes into Track mode.
6.850395 INFO Goes into Escape mode.
6.866889 INFO Goes into Track mode.
6.866901 INFO Goes into Escape mode.
6.883713 INFO Goes into Track mode.
6.883726 INFO Goes into Escape mode.
6.900088 INFO Goes into Track mode.
6.900102 INFO Goes into Escape mode.
6.916619 INFO Goes into Track mode.
6.916631 INFO Goes into Escape mode.
6.949754 INFO Goes into Track mode.
6.949766 INFO Goes into Escape mode.
6.9663 INFO Goes into Track mode.
6.966312 INFO Goes into Escape mode.
6.982894 INFO Goes into Track mode.
6.982907 INFO Goes into Escape mode.
6.999465 INFO Goes into Track mode.
6.999477 INFO Goes into Escape mode.
7.032907 INFO Goes into Track mode.
7.032921 INFO Goes into Escape mode.
7.049153 INFO Goes into Track mode.
7.049166 INFO Goes into Escape mode.
7.06583 INFO Goes into Track mode.
7.065843 INFO Goes into Escape mode.
7.082294 INFO Goes into Track mode.
7.082307 INFO Goes into Escape mode.
7.098812 INFO Goes into Track mode.
7.098823 INFO Goes into Escape mode.
7.131993 INFO Goes into Track mode.
7.132005 INFO Goes into Escape mode.
7.148556 INFO Goes into Track mode.
7.148568 INFO Goes into Escape mode.
7.165092 INFO Goes into Track mode.
7.165105 INFO Goes into Escape mode.
7.181664 INFO Goes into Track mode.
7.181676 INFO Goes into Escape mode.
7.198281 INFO Goes into Track mode.
7.198292 INFO Goes into Escape mode.
7.231555 INFO Goes into Track mode.
7.231567 INFO Goes into Escape mode.
7.248062 INFO Goes into Track mode.
7.248074 INFO Goes into Escape mode.
7.264871 INFO Goes into Track mode.
7.264884 INFO Goes into Escape mode.
7.28109 INFO Goes into Track mode.
7.281103 INFO Goes into Escape mode.
7.297607 INFO Goes into Track mode.
7.297619 INFO Goes into Escape mode.
7.33077 INFO Goes into Track mode.
7.330781 INFO Goes into Escape mode.
7.347287 INFO Goes into Track mode.
7.347298 INFO Goes into Escape mode.
7.363878 INFO Goes into Track mode.
7.363891 INFO Goes into Escape mode.
7.380453 INFO Goes into Track mode.
7.380465 INFO Goes into Escape mode.
7.397101 INFO Goes into Track mode.
7.397112 INFO Goes into Escape mode.
7.430133 INFO Goes into Track mode.
7.430146 INFO Goes into Escape mode.
7.446939 INFO Goes into Track mode.
7.446952 INFO Goes into Escape mode.
7.463289 INFO Goes into Track mode.
7.463301 INFO Goes into Escape mode.
7.480068 INFO Goes into Track mode.
7.48008 INFO Goes into Escape mode.
7.496431 INFO Goes into Track mode.
7.496443 INFO Goes into Escape mode.
7.529577 INFO Goes into Track mode.
7.529589 INFO Goes into Escape mode.
7.546191 INFO Goes into Track mode.
7.546203 INFO Goes into Escape mode.
7.562807 INFO Goes into Track mode.
7.562821 INFO Goes into Escape mode.
7.579243 INFO Goes into Track mode.
7.579254 INFO Goes into Escape mode.
7.612485 INFO Goes into Track mode.
7.612497 INFO Goes into Escape mode.
7.628965 INFO Goes into Track mode.
7.628977 INFO Goes into Escape mode.
