Time : 2/2/2017 4:02:55 AM
1.488153 INFO Goes into Track mode.
6.370487 INFO Has hit NightHunter_AI_B2 (5).
6.386998 INFO Has hit NightHunter_AI_B2 (5).
10.46165 INFO Goes into Escape mode.
10.47847 INFO Goes into Track mode.
10.47848 INFO Goes into Escape mode.
10.51133 INFO Goes into Track mode.
10.51134 INFO Goes into Escape mode.
10.52801 INFO Goes into Track mode.
10.52802 INFO Goes into Escape mode.
10.54449 INFO Goes into Track mode.
10.5445 INFO Goes into Escape mode.
10.56108 INFO Goes into Track mode.
10.56109 INFO Goes into Escape mode.
10.57763 INFO Goes into Track mode.
10.57765 INFO Goes into Escape mode.
10.61081 INFO Goes into Track mode.
10.61082 INFO Goes into Escape mode.
10.62731 INFO Goes into Track mode.
10.62732 INFO Goes into Escape mode.
10.64388 INFO Goes into Track mode.
10.6439 INFO Goes into Escape mode.
10.66054 INFO Goes into Track mode.
10.66055 INFO Goes into Escape mode.
10.67701 INFO Goes into Track mode.
10.67703 INFO Goes into Escape mode.
10.71016 INFO Goes into Track mode.
10.71017 INFO Goes into Escape mode.
10.72673 INFO Goes into Track mode.
10.72675 INFO Goes into Escape mode.
10.7433 INFO Goes into Track mode.
10.74331 INFO Goes into Escape mode.
10.7599 INFO Goes into Track mode.
10.75992 INFO Goes into Escape mode.
10.77641 INFO Goes into Track mode.
10.77642 INFO Goes into Escape mode.
10.80961 INFO Goes into Track mode.
10.80963 INFO Goes into Escape mode.
10.82613 INFO Goes into Track mode.
10.82615 INFO Goes into Escape mode.
10.84271 INFO Goes into Track mode.
10.84272 INFO Goes into Escape mode.
10.85927 INFO Goes into Track mode.
10.85928 INFO Goes into Escape mode.
10.87585 INFO Goes into Track mode.
10.87586 INFO Goes into Escape mode.
10.90897 INFO Goes into Track mode.
10.90898 INFO Goes into Escape mode.
10.92552 INFO Goes into Track mode.
10.92554 INFO Goes into Escape mode.
10.94211 INFO Goes into Track mode.
10.94213 INFO Goes into Escape mode.
10.95868 INFO Goes into Track mode.
10.95869 INFO Goes into Escape mode.
10.99181 INFO Goes into Track mode.
10.99182 INFO Goes into Escape mode.
11.00837 INFO Goes into Track mode.
11.00838 INFO Goes into Escape mode.
11.0249 INFO Goes into Track mode.
11.02492 INFO Goes into Escape mode.
11.04154 INFO Goes into Track mode.
11.04155 INFO Goes into Escape mode.
11.05809 INFO Goes into Track mode.
11.05811 INFO Goes into Escape mode.
11.09123 INFO Goes into Track mode.
11.09124 INFO Goes into Escape mode.
11.10776 INFO Goes into Track mode.
11.10778 INFO Goes into Escape mode.
11.12431 INFO Goes into Track mode.
11.12432 INFO Goes into Escape mode.
11.14104 INFO Goes into Track mode.
11.14106 INFO Goes into Escape mode.
11.15749 INFO Goes into Track mode.
11.1575 INFO Goes into Escape mode.
11.19062 INFO Goes into Track mode.
11.19063 INFO Goes into Escape mode.
11.20715 INFO Goes into Track mode.
11.20716 INFO Goes into Escape mode.
11.2237 INFO Goes into Track mode.
11.22371 INFO Goes into Escape mode.
11.24027 INFO Goes into Track mode.
11.24029 INFO Goes into Escape mode.
11.25687 INFO Goes into Track mode.
11.25688 INFO Goes into Escape mode.
11.29002 INFO Goes into Track mode.
11.29003 INFO Goes into Escape mode.
11.30656 INFO Goes into Track mode.
11.30657 INFO Goes into Escape mode.
11.32311 INFO Goes into Track mode.
11.32312 INFO Goes into Escape mode.
11.3397 INFO Goes into Track mode.
11.33971 INFO Goes into Escape mode.
11.35625 INFO Goes into Track mode.
11.35626 INFO Goes into Escape mode.
11.38941 INFO Goes into Track mode.
11.38942 INFO Goes into Escape mode.
11.40603 INFO Goes into Track mode.
11.40604 INFO Goes into Escape mode.
