Time : 2/2/2017 3:59:04 AM
1.442688 INFO Goes into Track mode.
5.139428 INFO Goes into Escape mode.
5.155959 INFO Goes into Track mode.
5.15597 INFO Goes into Escape mode.
5.172547 INFO Goes into Track mode.
5.172559 INFO Goes into Escape mode.
5.189331 INFO Goes into Track mode.
5.189343 INFO Goes into Escape mode.
5.205662 INFO Goes into Track mode.
5.205674 INFO Goes into Escape mode.
5.238781 INFO Goes into Track mode.
5.238794 INFO Goes into Escape mode.
5.255351 INFO Goes into Track mode.
5.255363 INFO Goes into Escape mode.
5.271917 INFO Goes into Track mode.
5.271929 INFO Goes into Escape mode.
5.288495 INFO Goes into Track mode.
5.288506 INFO Goes into Escape mode.
5.305146 INFO Goes into Track mode.
5.305161 INFO Goes into Escape mode.
5.338179 INFO Goes into Track mode.
5.338191 INFO Goes into Escape mode.
5.354996 INFO Goes into Track mode.
5.355008 INFO Goes into Escape mode.
5.371332 INFO Goes into Track mode.
5.371343 INFO Goes into Escape mode.
5.387886 INFO Goes into Track mode.
5.387898 INFO Goes into Escape mode.
5.404467 INFO Goes into Track mode.
5.40448 INFO Goes into Escape mode.
5.43766 INFO Goes into Track mode.
5.437675 INFO Goes into Escape mode.
5.454178 INFO Goes into Track mode.
5.45419 INFO Goes into Escape mode.
5.470788 INFO Goes into Track mode.
5.4708 INFO Goes into Escape mode.
5.487293 INFO Goes into Track mode.
5.487307 INFO Goes into Escape mode.
5.52073 INFO Goes into Track mode.
5.520742 INFO Goes into Escape mode.
5.537014 INFO Goes into Track mode.
5.537025 INFO Goes into Escape mode.
5.553546 INFO Goes into Track mode.
5.553558 INFO Goes into Escape mode.
5.570112 INFO Goes into Track mode.
5.570124 INFO Goes into Escape mode.
5.586699 INFO Goes into Track mode.
5.586711 INFO Goes into Escape mode.
5.619829 INFO Goes into Track mode.
5.619841 INFO Goes into Escape mode.
5.636389 INFO Goes into Track mode.
5.636402 INFO Goes into Escape mode.
5.652973 INFO Goes into Track mode.
5.652987 INFO Goes into Escape mode.
5.669553 INFO Goes into Track mode.
5.669566 INFO Goes into Escape mode.
5.686356 INFO Goes into Track mode.
5.686368 INFO Goes into Escape mode.
5.719231 INFO Goes into Track mode.
5.719254 INFO Goes into Escape mode.
5.735793 INFO Goes into Track mode.
5.735805 INFO Goes into Escape mode.
5.75237 INFO Goes into Track mode.
5.752381 INFO Goes into Escape mode.
5.768927 INFO Goes into Track mode.
5.76894 INFO Goes into Escape mode.
5.78551 INFO Goes into Track mode.
5.785522 INFO Goes into Escape mode.
5.818685 INFO Goes into Track mode.
