Time : 2/2/2017 4:02:55 AM
1.485736 INFO Goes into Track mode.
10.67689 INFO Goes into Escape mode.
10.71002 INFO Goes into Track mode.
10.71004 INFO Goes into Escape mode.
10.7266 INFO Goes into Track mode.
10.72662 INFO Goes into Escape mode.
10.74316 INFO Goes into Track mode.
10.74318 INFO Goes into Escape mode.
10.75975 INFO Goes into Track mode.
10.75978 INFO Goes into Escape mode.
10.77628 INFO Goes into Track mode.
10.7763 INFO Goes into Escape mode.
10.80944 INFO Goes into Track mode.
10.80946 INFO Goes into Escape mode.
10.826 INFO Goes into Track mode.
10.82602 INFO Goes into Escape mode.
10.84256 INFO Goes into Track mode.
10.84258 INFO Goes into Escape mode.
10.85913 INFO Goes into Track mode.
10.85915 INFO Goes into Escape mode.
10.8757 INFO Goes into Track mode.
10.87572 INFO Goes into Escape mode.
10.90883 INFO Goes into Track mode.
10.90885 INFO Goes into Escape mode.
10.9254 INFO Goes into Track mode.
10.92542 INFO Goes into Escape mode.
10.94198 INFO Goes into Track mode.
10.942 INFO Goes into Escape mode.
10.95854 INFO Goes into Track mode.
10.95856 INFO Goes into Escape mode.
10.99167 INFO Goes into Track mode.
10.9917 INFO Goes into Escape mode.
11.00823 INFO Goes into Track mode.
11.00825 INFO Goes into Escape mode.
11.02478 INFO Goes into Track mode.
11.0248 INFO Goes into Escape mode.
11.04137 INFO Goes into Track mode.
11.0414 INFO Goes into Escape mode.
11.05795 INFO Goes into Track mode.
11.05797 INFO Goes into Escape mode.
11.09109 INFO Goes into Track mode.
11.09111 INFO Goes into Escape mode.
11.10763 INFO Goes into Track mode.
11.10765 INFO Goes into Escape mode.
11.12418 INFO Goes into Track mode.
11.1242 INFO Goes into Escape mode.
11.1409 INFO Goes into Track mode.
11.14092 INFO Goes into Escape mode.
11.15735 INFO Goes into Track mode.
11.15737 INFO Goes into Escape mode.
11.19047 INFO Goes into Track mode.
23.8308 INFO Goes into Escape mode.
23.84737 INFO Goes into Track mode.
23.8474 INFO Goes into Escape mode.
23.86396 INFO Goes into Track mode.
23.86398 INFO Goes into Escape mode.
23.88051 INFO Goes into Track mode.
23.88053 INFO Goes into Escape mode.
23.89708 INFO Goes into Track mode.
23.8971 INFO Goes into Escape mode.
23.93022 INFO Goes into Track mode.
23.93025 INFO Goes into Escape mode.
23.94677 INFO Goes into Track mode.
23.94679 INFO Goes into Escape mode.
23.96356 INFO Goes into Track mode.
23.96358 INFO Goes into Escape mode.
23.98004 INFO Goes into Track mode.
23.98006 INFO Goes into Escape mode.
23.99648 INFO Goes into Track mode.
23.9965 INFO Goes into Escape mode.
24.02962 INFO Goes into Track mode.
24.02964 INFO Goes into Escape mode.
24.04619 INFO Goes into Track mode.
24.04621 INFO Goes into Escape mode.
24.06312 INFO Goes into Track mode.
24.06314 INFO Goes into Escape mode.
24.07937 INFO Goes into Track mode.
24.07938 INFO Goes into Escape mode.
24.09595 INFO Goes into Track mode.
24.09596 INFO Goes into Escape mode.
24.12906 INFO Goes into Track mode.
24.12907 INFO Goes into Escape mode.
24.14596 INFO Goes into Track mode.
24.14598 INFO Goes into Escape mode.
24.16221 INFO Goes into Track mode.
24.16222 INFO Goes into Escape mode.
24.17878 INFO Goes into Track mode.
24.17879 INFO Goes into Escape mode.
24.21191 INFO Goes into Track mode.
24.21192 INFO Goes into Escape mode.
24.22845 INFO Goes into Track mode.
24.22846 INFO Goes into Escape mode.
24.24503 INFO Goes into Track mode.
24.24504 INFO Goes into Escape mode.
24.2616 INFO Goes into Track mode.
24.26162 INFO Goes into Escape mode.
24.27817 INFO Goes into Track mode.
24.27818 INFO Goes into Escape mode.
24.3113 INFO Goes into Track mode.
24.31132 INFO Goes into Escape mode.
24.32786 INFO Goes into Track mode.
24.32787 INFO Goes into Escape mode.
24.34441 INFO Goes into Track mode.
24.34442 INFO Goes into Escape mode.
24.36099 INFO Goes into Track mode.
