Time : 2/2/2017 4:02:55 AM
1.485107 INFO Goes into Track mode.
9.865118 INFO Goes into Dodge mode.
10.22981 INFO Goes into Track mode.
15.53094 INFO Goes into Escape mode.
15.54749 INFO Goes into Track mode.
15.5475 INFO Goes into Escape mode.
15.56408 INFO Goes into Track mode.
15.56409 INFO Goes into Escape mode.
15.58064 INFO Goes into Track mode.
15.58066 INFO Goes into Escape mode.
15.5972 INFO Goes into Track mode.
15.59721 INFO Goes into Escape mode.
15.63042 INFO Goes into Track mode.
15.63043 INFO Goes into Escape mode.
15.64693 INFO Goes into Track mode.
15.64694 INFO Goes into Escape mode.
15.66349 INFO Goes into Track mode.
15.66351 INFO Goes into Escape mode.
15.68007 INFO Goes into Track mode.
15.68008 INFO Goes into Escape mode.
15.69661 INFO Goes into Track mode.
15.69662 INFO Goes into Escape mode.
15.72979 INFO Goes into Track mode.
15.7298 INFO Goes into Escape mode.
15.7463 INFO Goes into Track mode.
15.74631 INFO Goes into Escape mode.
15.76288 INFO Goes into Track mode.
15.7629 INFO Goes into Escape mode.
15.77946 INFO Goes into Track mode.
15.77947 INFO Goes into Escape mode.
15.79604 INFO Goes into Track mode.
15.79605 INFO Goes into Escape mode.
15.82914 INFO Goes into Track mode.
15.82915 INFO Goes into Escape mode.
15.8457 INFO Goes into Track mode.
15.84573 INFO Goes into Escape mode.
15.86234 INFO Goes into Track mode.
15.86235 INFO Goes into Escape mode.
15.87888 INFO Goes into Track mode.
15.8789 INFO Goes into Escape mode.
15.91203 INFO Goes into Track mode.
15.91204 INFO Goes into Escape mode.
15.92856 INFO Goes into Track mode.
15.92857 INFO Goes into Escape mode.
15.94521 INFO Goes into Track mode.
15.94522 INFO Goes into Escape mode.
15.96175 INFO Goes into Track mode.
15.96176 INFO Goes into Escape mode.
15.97827 INFO Goes into Track mode.
15.97828 INFO Goes into Escape mode.
16.01142 INFO Goes into Track mode.
16.01143 INFO Goes into Escape mode.
16.02798 INFO Goes into Track mode.
16.02799 INFO Goes into Escape mode.
16.0445 INFO Goes into Track mode.
16.04452 INFO Goes into Escape mode.
16.06114 INFO Goes into Track mode.
16.06115 INFO Goes into Escape mode.
16.07769 INFO Goes into Track mode.
16.07771 INFO Goes into Escape mode.
16.11082 INFO Goes into Track mode.
16.11084 INFO Goes into Escape mode.
16.12736 INFO Goes into Track mode.
16.12738 INFO Goes into Escape mode.
16.14394 INFO Goes into Track mode.
16.14395 INFO Goes into Escape mode.
16.16067 INFO Goes into Track mode.
16.16068 INFO Goes into Escape mode.
16.17706 INFO Goes into Track mode.
16.17708 INFO Goes into Escape mode.
16.21019 INFO Goes into Track mode.
16.2102 INFO Goes into Escape mode.
16.22679 INFO Goes into Track mode.
16.2268 INFO Goes into Escape mode.
16.24332 INFO Goes into Track mode.
16.24333 INFO Goes into Escape mode.
16.25996 INFO Goes into Track mode.
16.25997 INFO Goes into Escape mode.
16.27671 INFO Goes into Track mode.
16.27672 INFO Goes into Escape mode.
16.3096 INFO Goes into Track mode.
16.30962 INFO Goes into Escape mode.
16.32626 INFO Goes into Track mode.
16.32627 INFO Goes into Escape mode.
16.34276 INFO Goes into Track mode.
16.34277 INFO Goes into Escape mode.
16.35929 INFO Goes into Track mode.
16.35931 INFO Goes into Escape mode.
16.37596 INFO Goes into Track mode.
16.37597 INFO Goes into Escape mode.
16.40906 INFO Goes into Track mode.
16.40907 INFO Goes into Escape mode.
16.42558 INFO Goes into Track mode.
16.4256 INFO Goes into Escape mode.
16.44214 INFO Goes into Track mode.
16.44215 INFO Goes into Escape mode.
16.45869 INFO Goes into Track mode.
16.4587 INFO Goes into Escape mode.
16.4921 INFO Goes into Track mode.
16.49212 INFO Goes into Escape mode.
16.50842 INFO Goes into Track mode.
16.50843 INFO Goes into Escape mode.
16.52499 INFO Goes into Track mode.
16.525 INFO Goes into Escape mode.
16.54153 INFO Goes into Track mode.
16.54154 INFO Goes into Escape mode.
16.55813 INFO Goes into Track mode.
16.55814 INFO Goes into Escape mode.
16.59127 INFO Goes into Track mode.
