Time : 2/2/2017 4:02:55 AM
1.491055 INFO Goes into Track mode.
4.48083 INFO Goes into Dodge mode.
4.56404 INFO Goes into Track mode.
4.597221 INFO Goes into Dodge mode.
5.061584 INFO Has hit obstacle
5.607791 INFO Goes into Track mode.
5.922667 INFO Goes into Dodge mode.
6.171706 INFO Has hit obstacle
7.18152 INFO Goes into Track mode.
14.53743 INFO Goes into Escape mode.
14.57039 INFO Goes into Track mode.
14.57041 INFO Goes into Escape mode.
14.5869 INFO Goes into Track mode.
14.58692 INFO Goes into Escape mode.
14.60343 INFO Goes into Track mode.
14.60344 INFO Goes into Escape mode.
14.6201 INFO Goes into Track mode.
14.62011 INFO Goes into Escape mode.
14.63659 INFO Goes into Track mode.
14.6366 INFO Goes into Escape mode.
14.66996 INFO Goes into Track mode.
14.66997 INFO Goes into Escape mode.
14.68641 INFO Goes into Track mode.
14.68642 INFO Goes into Escape mode.
14.70292 INFO Goes into Track mode.
14.70293 INFO Goes into Escape mode.
14.71939 INFO Goes into Track mode.
14.71941 INFO Goes into Escape mode.
14.73602 INFO Goes into Track mode.
14.73603 INFO Goes into Escape mode.
14.76913 INFO Goes into Track mode.
14.76915 INFO Goes into Escape mode.
14.78569 INFO Goes into Track mode.
14.78571 INFO Goes into Escape mode.
14.80237 INFO Goes into Track mode.
14.80239 INFO Goes into Escape mode.
14.81883 INFO Goes into Track mode.
14.81884 INFO Goes into Escape mode.
14.85224 INFO Goes into Track mode.
14.85225 INFO Goes into Escape mode.
14.86852 INFO Goes into Track mode.
14.86853 INFO Goes into Escape mode.
14.88513 INFO Goes into Track mode.
14.88514 INFO Goes into Escape mode.
14.90168 INFO Goes into Track mode.
14.9017 INFO Goes into Escape mode.
14.9182 INFO Goes into Track mode.
14.91821 INFO Goes into Escape mode.
14.95137 INFO Goes into Track mode.
14.95138 INFO Goes into Escape mode.
14.96796 INFO Goes into Track mode.
14.96798 INFO Goes into Escape mode.
14.9845 INFO Goes into Track mode.
14.98452 INFO Goes into Escape mode.
15.00124 INFO Goes into Track mode.
15.00125 INFO Goes into Escape mode.
15.01767 INFO Goes into Track mode.
15.01768 INFO Goes into Escape mode.
15.05078 INFO Goes into Track mode.
15.05079 INFO Goes into Escape mode.
15.06736 INFO Goes into Track mode.
15.06737 INFO Goes into Escape mode.
15.08399 INFO Goes into Track mode.
15.084 INFO Goes into Escape mode.
15.10044 INFO Goes into Track mode.
15.10045 INFO Goes into Escape mode.
15.11703 INFO Goes into Track mode.
15.11704 INFO Goes into Escape mode.
15.15033 INFO Goes into Track mode.
15.15035 INFO Goes into Escape mode.
15.16683 INFO Goes into Track mode.
15.16685 INFO Goes into Escape mode.
15.18331 INFO Goes into Track mode.
15.18332 INFO Goes into Escape mode.
15.19991 INFO Goes into Track mode.
15.19992 INFO Goes into Escape mode.
15.2164 INFO Goes into Track mode.
15.21641 INFO Goes into Escape mode.
15.24978 INFO Goes into Track mode.
15.24979 INFO Goes into Escape mode.
15.26613 INFO Goes into Track mode.
15.26614 INFO Goes into Escape mode.
15.28271 INFO Goes into Track mode.
15.28272 INFO Goes into Escape mode.
15.29927 INFO Goes into Track mode.
15.29928 INFO Goes into Escape mode.
15.33243 INFO Goes into Track mode.
15.33244 INFO Goes into Escape mode.
15.34898 INFO Goes into Track mode.
15.34899 INFO Goes into Escape mode.
15.36553 INFO Goes into Track mode.
15.36554 INFO Goes into Escape mode.
15.38214 INFO Goes into Track mode.
15.38215 INFO Goes into Escape mode.
15.39873 INFO Goes into Track mode.
15.39875 INFO Goes into Escape mode.
15.43178 INFO Goes into Track mode.
15.43179 INFO Goes into Escape mode.
15.44836 INFO Goes into Track mode.
15.44837 INFO Goes into Escape mode.
15.46491 INFO Goes into Track mode.
15.46492 INFO Goes into Escape mode.
15.48151 INFO Goes into Track mode.
15.48152 INFO Goes into Escape mode.
15.49815 INFO Goes into Track mode.
15.49816 INFO Goes into Escape mode.
15.53121 INFO Goes into Track mode.
15.53122 INFO Goes into Escape mode.
15.54778 INFO Goes into Track mode.
15.54779 INFO Goes into Escape mode.
15.56436 INFO Goes into Track mode.
15.56438 INFO Goes into Escape mode.
15.58095 INFO Goes into Track mode.
20.41832 INFO Goes into Escape mode.
20.45147 INFO Goes into Track mode.
20.45148 INFO Goes into Escape mode.
20.46808 INFO Goes into Track mode.
20.46809 INFO Goes into Escape mode.
20.48461 INFO Goes into Track mode.
20.48462 INFO Goes into Escape mode.
20.50118 INFO Goes into Track mode.
20.50119 INFO Goes into Escape mode.
20.51772 INFO Goes into Track mode.
20.51773 INFO Goes into Escape mode.
20.55084 INFO Goes into Track mode.
20.55085 INFO Goes into Escape mode.
20.56743 INFO Goes into Track mode.
20.56744 INFO Goes into Escape mode.
20.584 INFO Goes into Track mode.
20.58401 INFO Goes into Escape mode.
20.60059 INFO Goes into Track mode.
20.60061 INFO Goes into Escape mode.
20.61711 INFO Goes into Track mode.
20.61713 INFO Goes into Escape mode.
20.6503 INFO Goes into Track mode.
20.65032 INFO Goes into Escape mode.
20.66691 INFO Goes into Track mode.
20.66693 INFO Goes into Escape mode.
20.68342 INFO Goes into Track mode.
20.68343 INFO Goes into Escape mode.
20.70007 INFO Goes into Track mode.
20.70008 INFO Goes into Escape mode.
20.71656 INFO Goes into Track mode.
20.71657 INFO Goes into Escape mode.
20.74966 INFO Goes into Track mode.
20.74968 INFO Goes into Escape mode.
20.76627 INFO Goes into Track mode.
20.76628 INFO Goes into Escape mode.
20.78281 INFO Goes into Track mode.
20.78282 INFO Goes into Escape mode.
20.79935 INFO Goes into Track mode.
20.79936 INFO Goes into Escape mode.
20.81593 INFO Goes into Track mode.
20.81594 INFO Goes into Escape mode.
20.84907 INFO Goes into Track mode.
20.84908 INFO Goes into Escape mode.
20.86576 INFO Goes into Track mode.
20.86577 INFO Goes into Escape mode.
20.88224 INFO Goes into Track mode.
20.88225 INFO Goes into Escape mode.
20.89875 INFO Goes into Track mode.
20.89876 INFO Goes into Escape mode.
20.93194 INFO Goes into Track mode.
20.93196 INFO Goes into Escape mode.
20.94871 INFO Goes into Track mode.
20.94872 INFO Goes into Escape mode.
20.96504 INFO Goes into Track mode.
20.96505 INFO Goes into Escape mode.
20.98157 INFO Goes into Track mode.
20.98158 INFO Goes into Escape mode.
20.99816 INFO Goes into Track mode.
20.99817 INFO Goes into Escape mode.
21.0314 INFO Goes into Track mode.
21.03142 INFO Goes into Escape mode.
21.04785 INFO Goes into Track mode.
21.04786 INFO Goes into Escape mode.
21.06467 INFO Goes into Track mode.
21.0647 INFO Goes into Escape mode.
21.08106 INFO Goes into Track mode.
21.08108 INFO Goes into Escape mode.
21.09764 INFO Goes into Track mode.
21.09765 INFO Goes into Escape mode.
21.13084 INFO Goes into Track mode.
21.13086 INFO Goes into Escape mode.
21.14737 INFO Goes into Track mode.
21.14738 INFO Goes into Escape mode.
21.16394 INFO Goes into Track mode.
21.16396 INFO Goes into Escape mode.
