Time : 2/2/2017 4:02:55 AM
1.488768 INFO Goes into Track mode.
5.541327 INFO Goes into Escape mode.
5.557901 INFO Goes into Track mode.
5.557921 INFO Goes into Escape mode.
5.591144 INFO Goes into Track mode.
5.591165 INFO Goes into Escape mode.
5.607671 INFO Goes into Track mode.
5.607691 INFO Goes into Escape mode.
5.624148 INFO Goes into Track mode.
5.62417 INFO Goes into Escape mode.
5.64076 INFO Goes into Track mode.
5.640781 INFO Goes into Escape mode.
5.65732 INFO Goes into Track mode.
5.657341 INFO Goes into Escape mode.
5.690503 INFO Goes into Track mode.
5.690523 INFO Goes into Escape mode.
5.707 INFO Goes into Track mode.
5.707019 INFO Goes into Escape mode.
5.72357 INFO Goes into Track mode.
5.72359 INFO Goes into Escape mode.
5.740138 INFO Goes into Track mode.
5.740156 INFO Goes into Escape mode.
5.756741 INFO Goes into Track mode.
5.756761 INFO Goes into Escape mode.
5.789835 INFO Goes into Track mode.
5.789855 INFO Goes into Escape mode.
5.806435 INFO Goes into Track mode.
5.806455 INFO Goes into Escape mode.
5.822975 INFO Goes into Track mode.
5.822996 INFO Goes into Escape mode.
5.839532 INFO Goes into Track mode.
5.839552 INFO Goes into Escape mode.
5.856143 INFO Goes into Track mode.
5.856163 INFO Goes into Escape mode.
5.889274 INFO Goes into Track mode.
5.889296 INFO Goes into Escape mode.
5.906025 INFO Goes into Track mode.
5.906046 INFO Goes into Escape mode.
5.922534 INFO Goes into Track mode.
5.922546 INFO Goes into Escape mode.
5.938989 INFO Goes into Track mode.
5.939001 INFO Goes into Escape mode.
5.972174 INFO Goes into Track mode.
5.972187 INFO Goes into Escape mode.
5.988744 INFO Goes into Track mode.
5.988757 INFO Goes into Escape mode.
6.005285 INFO Goes into Track mode.
6.005298 INFO Goes into Escape mode.
6.021924 INFO Goes into Track mode.
6.021937 INFO Goes into Escape mode.
6.038423 INFO Goes into Track mode.
6.038435 INFO Goes into Escape mode.
6.071538 INFO Goes into Track mode.
6.071551 INFO Goes into Escape mode.
6.088193 INFO Goes into Track mode.
6.088206 INFO Goes into Escape mode.
6.104822 INFO Goes into Track mode.
6.104835 INFO Goes into Escape mode.
6.121224 INFO Goes into Track mode.
6.121237 INFO Goes into Escape mode.
6.137783 INFO Goes into Track mode.
6.137796 INFO Goes into Escape mode.
6.170933 INFO Goes into Track mode.
6.170945 INFO Goes into Escape mode.
6.187534 INFO Goes into Track mode.
6.187545 INFO Goes into Escape mode.
6.20404 INFO Goes into Track mode.
6.204053 INFO Goes into Escape mode.
6.220662 INFO Goes into Track mode.
6.220675 INFO Goes into Escape mode.
6.237276 INFO Goes into Track mode.
6.237289 INFO Goes into Escape mode.
6.270332 INFO Goes into Track mode.
6.270346 INFO Goes into Escape mode.
6.286876 INFO Goes into Track mode.
6.286889 INFO Goes into Escape mode.
6.303498 INFO Goes into Track mode.
6.303511 INFO Goes into Escape mode.
6.320011 INFO Goes into Track mode.
6.320024 INFO Goes into Escape mode.
6.336595 INFO Goes into Track mode.
6.336607 INFO Goes into Escape mode.
6.369719 INFO Goes into Track mode.
6.36973 INFO Goes into Escape mode.
6.386283 INFO Goes into Track mode.
6.386303 INFO Goes into Escape mode.
6.402981 INFO Goes into Track mode.
6.402994 INFO Goes into Escape mode.
6.419483 INFO Goes into Track mode.
6.419497 INFO Goes into Escape mode.
6.435992 INFO Goes into Track mode.
6.436005 INFO Goes into Escape mode.
6.469119 INFO Goes into Track mode.
6.46913 INFO Goes into Escape mode.
6.485708 INFO Goes into Track mode.
6.485729 INFO Goes into Escape mode.
6.502255 INFO Goes into Track mode.
6.502273 INFO Goes into Escape mode.
6.51901 INFO Goes into Track mode.
6.519022 INFO Goes into Escape mode.
6.551958 INFO Goes into Track mode.
6.55197 INFO Goes into Escape mode.
6.568591 INFO Goes into Track mode.
